Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bergen - Florida;SN50540;08.11.2021;12.7
Bergen - Florida;SN50540;09.11.2021;25.8
Bergen - Florida;SN50540;10.11.2021;7.3
Bergen - Florida;SN50540;11.11.2021;13.3
Bergen - Florida;SN50540;12.11.2021;7.4
Bergen - Florida;SN50540;13.11.2021;0.5
Bergen - Florida;SN50540;14.11.2021;0
Bergen - Florida;SN50540;15.11.2021;0
Bergen - Florida;SN50540;16.11.2021;29.2
Bergen - Florida;SN50540;17.11.2021;36.5
Bergen - Florida;SN50540;18.11.2021;10.2
Bergen - Florida;SN50540;19.11.2021;35.5
Bergen - Florida;SN50540;20.11.2021;7.2
Bergen - Florida;SN50540;21.11.2021;13.5
Bergen - Florida;SN50540;22.11.2021;2.2
Bergen - Florida;SN50540;23.11.2021;12.4
Bergen - Florida;SN50540;24.11.2021;18.9
Bergen - Florida;SN50540;25.11.2021;23.1
Bergen - Florida;SN50540;26.11.2021;0.1
Bergen - Florida;SN50540;27.11.2021;0
Bergen - Florida;SN50540;28.11.2021;0
Bergen - Florida;SN50540;29.11.2021;0
Bergen - Florida;SN50540;30.11.2021;8.1
Bergen - Florida;SN50540;01.12.2021;0.1
Bergen - Florida;SN50540;02.12.2021;0.2
Bergen - Florida;SN50540;03.12.2021;2.3
Bergen - Florida;SN50540;04.12.2021;0.6
Bergen - Florida;SN50540;05.12.2021;0.9
Bergen - Florida;SN50540;06.12.2021;0
Bergen - Florida;SN50540;07.12.2021;0.1
Bergen - Florida;SN50540;08.12.2021;0
Bergen - Florida;SN50540;09.12.2021;0
Bergen - Florida;SN50540;10.12.2021;0
Bergen - Florida;SN50540;11.12.2021;0
Bergen - Florida;SN50540;12.12.2021;2.4
Bergen - Florida;SN50540;13.12.2021;2.2
Bergen - Florida;SN50540;14.12.2021;11.2
Bergen - Florida;SN50540;15.12.2021;57
Bergen - Florida;SN50540;16.12.2021;2.6
Bergen - Florida;SN50540;17.12.2021;4.8
Bergen - Florida;SN50540;18.12.2021;4.6
Bergen - Florida;SN50540;19.12.2021;3.6
Bergen - Florida;SN50540;20.12.2021;0
Bergen - Florida;SN50540;21.12.2021;0
Bergen - Florida;SN50540;22.12.2021;0.6
Bergen - Florida;SN50540;23.12.2021;0
Bergen - Florida;SN50540;24.12.2021;0.2
Bergen - Florida;SN50540;25.12.2021;0
Bergen - Florida;SN50540;26.12.2021;0
Bergen - Florida;SN50540;27.12.2021;0
Bergen - Florida;SN50540;28.12.2021;0.7
Bergen - Florida;SN50540;29.12.2021;0.4
Bergen - Florida;SN50540;30.12.2021;7.7
Bergen - Florida;SN50540;31.12.2021;29.2
Data valid for 18.12.2022 (CC BY 4.0), The Norwegian Meteorological Institute (MET Norway);;;
