date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-04-29,10.1,7,14.2,1.1,0,152,24.9,77,1010.3,
2024-04-30,14,9.6,19.2,5.4,0,146,22.2,56.5,1020.7,
2024-05-01,16.3,10.6,23.6,1.1,0,79,7,38.2,1020.3,
2024-05-02,19.8,10.4,24.9,0,0,56,7.3,28.8,1018,
2024-05-03,17.1,10.2,24.5,0,0,346,7.3,31.7,1015.4,
2024-05-04,14.6,9.6,22.7,0,0,330,7.8,32,1013.2,
2024-05-05,11.6,9.7,16.3,0,0,294,7.2,24.8,1008.9,
2024-05-06,13.2,9.8,17.1,0,0,261,7.7,22.7,1010.1,
2024-05-07,11.5,10.5,14.4,1.2,0,170,10.9,21.2,1021.4,
2024-05-08,9.8,8.9,11.5,5,0,225,8.6,25.9,1025.3,
2024-05-09,9.8,8.4,11.5,18,0,177,13.7,40,1020.5,
2024-05-10,9.8,7.1,13.7,0.1,0,223,4.4,15.5,1023.8,
2024-05-11,13.6,9.3,19.6,0,0,153,10.2,30.2,1024.1,
2024-05-12,15.7,11.3,20.9,0,0,158,10.9,31,1022.7,
2024-05-13,16.6,10.2,22.6,0,0,144,13.6,44.6,1016.6,
2024-05-14,20.5,16.3,24.4,0,0,152,16.4,46.4,1013.2,
2024-05-15,19.3,10.4,25.4,0,0,128,9.1,33.5,1015.4,
2024-05-16,20,11.8,25.5,0,0,131,9.8,50,1017.4,
2024-05-17,18.5,11.7,24.7,0,0,150,7.7,36,1017.6,
2024-05-18,17.7,15,22.4,0.3,0,174,9.8,34.2,1016.9,
2024-05-19,13.9,10.8,18.4,0,0,322,16.1,44.6,1016.1,
2024-05-20,15.9,9.2,24,0,0,284,9.4,26.6,1016.8,
2024-05-21,19.2,11.5,26.5,0,0,315,7.7,28.8,1018.5,
2024-05-22,21.6,13.7,26.3,0,0,101,10.8,28.4,1015.4,
2024-05-23,21.2,17.6,27.3,0,0,118,14,32,1013.3,
2024-05-24,15.4,14,18,1.7,0,197,6.2,26.6,1019.3,
2024-05-25,18.4,14,24.6,0,0,313,7.4,27.4,1021,
2024-05-26,19.4,14.4,26.2,1.9,0,340,8.4,30.6,1018.3,
2024-05-27,15.6,14,21.2,16.1,0,152,8.8,29.2,1012.8,
2024-05-28,14.7,13,17.5,8.4,0,171,10.2,31,1013.2,
2024-05-29,14.4,10.2,19,0.1,0,344,9.1,23.8,1008.1,
2024-05-30,16.1,13.1,22.8,2.2,0,57,7.2,40,1007.8,
2024-05-31,14.8,11,18.9,0,0,339,11.8,39.2,1016.7,
2024-06-01,14.8,13.1,18.8,0,0,336,19,47.2,1021.4,
2024-06-02,14,11.7,17.9,7.1,0,314,13.6,36.4,1020,
2024-06-03,12.2,10.4,15,2.6,0,215,12.4,36,1011.6,
2024-06-04,10.9,9.1,14.5,32.6,0,159,20.9,69.5,1001.7,
2024-06-05,10.1,7.4,13.9,7.9,0,167,10.9,47.5,998.7,
2024-06-06,8.4,7.2,12.5,18.7,0,167,13.6,48.6,1006,
2024-06-07,9.4,6.8,13.6,20.8,0,156,16,45,1008.2,
2024-06-08,9.3,6.8,12.9,4.8,0,149,16.5,44.6,998.8,
2024-06-09,9.2,5.8,12.5,10.4,0,16,9.2,30.2,993,
2024-06-10,12.4,10.7,16.6,0,0,334,21.8,46.8,998.7,
